Test_Case,TC_Setup,TC_Steps,TC_Expected_Results,TC_Primary_Domain,TC_Secondary_Domain,TC_Component,TC_Labels
MCA-1675572,,"0. On DUT open at least two different apps then enable multi-window, close DUT flip and reopen flip",0. The opened apps should still in multi-window after open DUT flip,Flip,Interruption,"Display,Flip,Multi-Window",Exp_Reg common_validation_reg flip_interruption non_network_dependent
MCA-1675573,0. DUT should be on the Setup Wizard,"0. While going through setup Wizard, in each screen close and open flip",0. DUT should remain on same screen after each flip interaction,Flip,Interaction,"Display,Flip,Setup Wizard",Exp_Reg Plat_Reg common_validation_reg feature_cli feature_product non_network_dependent product_validation_reg requires_cli requires_flip
MCA-1675574,"0. - BT device should be available 
- Lock screen should be configured on DUT
- Have a device (SUP) or headset connected using BT","0. While setting up a trusted device, close and open flip

1. Lock device screen then close DUT flip e open again to check if screen is been unlocked via trusted device
2. On the main screen press the power key and swipe up to unlock
3. Close Flip and try to unlock the CLI display","0. DUT shall continue on the same screen after open the flip, trusted device shold be added properly

1. Inner screen shall be unlocked properly after flip open
2. Kept unlocked by trust agent
3. The device should get unlocked without the message on the screen",Flip,Interruption,"Display,Flip,Security",CLI_feature_common EDA_updated Exp_Reg PRC_CLI Plat_Reg common_validation_reg feature_CLI feature_cli feature_product feature_smart_lock non_network_dependent product_validation_reg requires_cli requires_flip
MCA-1675577,0. DUT should be in Safe Mode,"0. With DUT on Safe Mode receive some Voice/Video Call and answer it

1. While Call is active close/open DUT flip some times","0. The Voice/Video Call should be answered properly

1. The Call should be continued or not, according the 'Action on flip close' predefined settings",Flip,Interruption,"Call,Camera,Display,Flip,Security,Settings",Exp_Reg common_validation_reg flip_interruption network_dependent
MCA-1675578,0. DUT should be in Safe Mode,"0. With DUT on Safe Mode open Messages app and start compose some new message

1. Close flip then open again and unlock the screen (if DUT has a lock screen set)","0. Messages app shall open properly and new message should be composed

1. Messages shall remain open on compose screen with previous message written",Flip,Interruption,"Display,Flip,Messaging,Security",Exp_Reg common_validation_reg flip_interaction non_network_dependent
MCA-1681,"1. settings -> Display -> Lock Screen -> Privacy
2. settings -> Display -> Lock Screen -> Privacy
3. settings -> Display -> Lock Screen -> Privacy","0. With display OFF, receive any notifications  (Google+ / Gmail / Email / Hangout) -> press on notification circle on breathing screen and verify on the Peek screen.
1. Go to Moto App > Display -> Select how much details show and choose ""Don't show notifications at all"".
2. Go to Moto App > Display -> Select how much details show and choose ""Hide sensitive notification content""
3. Go to Moto App > Display -> Select how much details show and choose ""Show all notification content""","1. Verify there is no details shown on Moto Display screen with Privacy Mode
2. Verify there is notification present but no content details are shown and are hidden in Moto Display & Notification Peek Screens
3. Verify there is notification present and also content details are shown in Moto Display & Notification Peek Screens",Mot Experience,AoD,"Moto Display,Security",EDA_updated Exp_Reg aod_reg common_refactored common_validation_reg difficulty_level_low non_network_dependent
MCA-169,"0. Quick draw feature  is enabled. DUT is powered on.
Use twist gestures to open the rear camera by default","0. 1. Launch camera using quick draw 
2. Exit camera using back key.
3. Repeat steps 1 and 2 multiple times.
1. Set the twisted gesture to turn on the front camera,and repeat step 1","0. Verify that camera launch properly in the expected launch time.
Gesture enable camera enables the rear camera.
1. Gesture enable camera enables the front camera",MME,Camera,MME - Image,Exp_Reg Moto_exp_feature analyzed common_validation_reg non_network_dependent quick_capture quick_draw
MCA-1708,,"0. From the home screen, launch Contacts app
1. In settings find the import/export options
10. Check vCard on recipient device
11. Receive a vCard including multiple contacts from other Brand phone (E.g Pixel), Then receive a call from a contact that is saved via the vCard.
2. Select Export Option
3. For AOSP: Select Share all contacts

For Google Contacts: Select a folder to export the .vcf file
4. For AOSP: After finished exporting contacts open Notification Bar and click the notification to share contacts

For Google Contacts: Open the folder where the .vcf file is saved and long press on .vcf file to share it 
5. Select bluetooth and select a remote device to send it
6. From the contact list screen, select a contact
7. Press menu and select share
8. Press send key
9. Select bluetooth and select a remote device to send it to","0. Verify contacts list view is displayed
1. Verify Import/Export options should be displayed
10. Verify vCard displays the data selected to be sent
11. The contact name is displayed in incoming call notification. Whether answering or missing the call, the contact name and number display correct in call history list.
2. For AOSP: ""Export to .vcf file"" and ""Share all contacts"" should be displayed

For Google Contacts: It's possible to choose a folder to export the .vcf file to. 
3. A toast shall be displayed with the message: ""Contacts will be exported shortly""
4. Share options shall be displayed
5. Verify you are able to successfully share all name cards via bluetooth
6. Verify contact info is displayed
7. Verify data picker is displayed with list of available data to share
8. Verify share via dialog box is displayed with list of available methods to share vCard
9. Verify you are able to successfully share a name card via bluetooth",PIM,Contact,"Contacts,WiSL - BT",AOSP_Contacts Android_O_updated BB8_not_applicable GMS_Contacts common_refactored common_validation_reg difficulty_level_medium non_network_dependent
MCA-171,"0. Quick draw feature is enabled. DUT is powered on. There are playable videos stored on the phone.
Use twist gestures to open the rear camera by default","0. 1. Launch gallery.
2. Play video.
3. Perform quick draw gesture.
4. Press the Back soft key from the view finder.
1. Set the twisted gesture to turn on the front camera,and repeat step 1","0. 3. Verify that Mot camera is launched when quick draw gesture is done while in gallery.Gesture enable camera enables the rear camera.
4. Verify that when back key is pressed DUT returns to video play screen.
1. Gesture enable camera enables the front camera",Mot Experience,Quick Capture,"MME - Image,Moto Actions",Exp_Reg Plat_Reg analyzed common_validation_reg difficulty_level_low exp_common feature_common feature_quick_capture non_network_dependent prc_leverage quick_capture quick_draw
MCA-1713,,"0. Go to the Contacts app
1. Select a contact with at least 2 phone numbers that one of the numbers is default SIM 1 and another number is set to default SIM 2
2. Long press on number area
3. Set Dual SIM usage profile to Manual with Preferred SIM for Voice calls set to SIM 2 

Go to the same contact detail above
4. Go back to Dual SIM Settings and change Preferred SIM for Voice calls to be Always Ask, and go to the same contact detail above","2. Verify number option dialog is displayed with the following options
* number
* Copy to clipboard
* Set default
* Clear default calling SIM
3. Verify under the number there is default SIM information (via SIM 1/2)
4. Verify under the number there is default SIM information (via SIM 1/2)",Dual SIM,DS Settings,"Call,Dialer,Dual Sim",Android_O_updated Android_Q_updated DSDS_Reg EDA_updated common_validation_reg difficulty_level_medium network_dependent
